,body
2549,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2550,"{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.8885}"
2551,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2552,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2553,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.6369}"
2554,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2555,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.3612}"
2556,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.5473}"
2557,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2558,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}"
2559,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2560,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2561,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.6222}"
2562,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2563,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.7378}"
2564,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
2565,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2566,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2567,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.5859}"
2568,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.296}"
2569,"{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.8885}"
2570,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2571,"{'neg': 0.131, 'neu': 0.869, 'pos': 0.0, 'compound': -0.3412}"
2572,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2573,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2574,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
2575,"{'neg': 0.022, 'neu': 0.836, 'pos': 0.142, 'compound': 0.6808}"
2576,"{'neg': 0.092, 'neu': 0.908, 'pos': 0.0, 'compound': -0.3034}"
2577,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2578,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.7386}"
2579,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2580,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}"
2581,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2582,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.34}"
2583,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2584,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.2263}"
2585,"{'neg': 0.0, 'neu': 0.751, 'pos': 0.249, 'compound': 0.4559}"
2586,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2587,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2588,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2589,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.4871}"
2590,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}"
2591,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2592,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2593,"{'neg': 0.106, 'neu': 0.752, 'pos': 0.142, 'compound': 0.2023}"
2594,"{'neg': 0.168, 'neu': 0.735, 'pos': 0.096, 'compound': -0.211}"
2595,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2596,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2597,"{'neg': 0.0, 'neu': 0.832, 'pos': 0.168, 'compound': 0.6166}"
2598,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.34}"
2599,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
2600,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2601,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.5106}"
2602,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.1531}"
2603,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2604,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2605,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2606,"{'neg': 0.182, 'neu': 0.818, 'pos': 0.0, 'compound': -0.4404}"
2607,"{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.0762}"
2608,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2609,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2610,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2611,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2612,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2613,"{'neg': 0.107, 'neu': 0.782, 'pos': 0.111, 'compound': 0.0258}"
2614,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2615,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2616,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2617,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2618,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.4995}"
2619,"{'neg': 0.042, 'neu': 0.81, 'pos': 0.148, 'compound': 0.7165}"
2620,"{'neg': 0.181, 'neu': 0.819, 'pos': 0.0, 'compound': -0.4767}"
2621,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2622,"{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.9485}"
2623,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2624,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2625,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.3818}"
2626,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4939}"
2627,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2628,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
2629,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2630,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.3818}"
2631,"{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.7089}"
2632,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2633,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.6124}"
2634,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2635,"{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.3034}"
2636,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.3612}"
2637,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2638,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4215}"
2639,"{'neg': 0.055, 'neu': 0.793, 'pos': 0.152, 'compound': 0.5848}"
2640,"{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.5719}"
2641,"{'neg': 0.079, 'neu': 0.833, 'pos': 0.088, 'compound': 0.0516}"
2642,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
2643,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2644,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2645,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.4019}"
2646,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2647,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2648,"{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.5267}"
2649,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}"
2650,"{'neg': 0.201, 'neu': 0.753, 'pos': 0.046, 'compound': -0.7506}"
2651,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4019}"
2652,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}"
2653,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}"
2654,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2655,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.6369}"
2656,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2657,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2658,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.636}"
2659,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2660,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.6597}"
2661,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2662,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2663,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2664,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2665,"{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.296}"
2666,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.2263}"
2667,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.7263}"
2668,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.296}"
2669,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}"
2670,"{'neg': 0.303, 'neu': 0.697, 'pos': 0.0, 'compound': -0.8275}"
2671,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2672,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2673,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}"
2674,"{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.2023}"
2675,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.3595}"
2676,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2677,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2678,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2679,"{'neg': 0.138, 'neu': 0.667, 'pos': 0.195, 'compound': 0.2732}"
2680,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.4019}"
2681,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
2682,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2683,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.8788}"
2684,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.5267}"
2685,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2686,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2687,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.8306}"
2688,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}"
2689,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2690,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2691,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.1655}"
2692,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2693,"{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.8885}"
2694,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2695,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2696,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4404}"
2697,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.2023}"
2698,"{'neg': 0.419, 'neu': 0.581, 'pos': 0.0, 'compound': -0.5574}"
2699,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2700,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.4215}"
2701,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.7351}"
2702,"{'neg': 0.093, 'neu': 0.733, 'pos': 0.173, 'compound': 0.296}"
2703,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.6588}"
2704,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2705,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2706,"{'neg': 0.0, 'neu': 0.688, 'pos': 0.312, 'compound': 0.7096}"
2707,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2708,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2709,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.5267}"
2710,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
2711,"{'neg': 0.634, 'neu': 0.366, 'pos': 0.0, 'compound': -0.5374}"
2712,"{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.5994}"
2713,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2714,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2715,"{'neg': 0.169, 'neu': 0.684, 'pos': 0.147, 'compound': -0.0602}"
2716,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2717,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}"
2718,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.296}"
2719,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2720,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2721,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2722,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2723,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2724,"{'neg': 0.06, 'neu': 0.94, 'pos': 0.0, 'compound': -0.3818}"
2725,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2726,"{'neg': 0.088, 'neu': 0.833, 'pos': 0.078, 'compound': -0.0516}"
2727,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2728,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2729,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2730,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2731,"{'neg': 0.071, 'neu': 0.845, 'pos': 0.084, 'compound': 0.1027}"
2732,"{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.5256}"
2733,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2734,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2735,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4019}"
2736,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.3612}"
2737,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2738,"{'neg': 0.183, 'neu': 0.622, 'pos': 0.195, 'compound': -0.1779}"
2739,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2740,"{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.0762}"
2741,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2742,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.5106}"
2743,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2744,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2745,"{'neg': 0.132, 'neu': 0.755, 'pos': 0.113, 'compound': -0.0772}"
2746,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
2747,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.1695}"
2748,"{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.4019}"
2749,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2750,"{'neg': 0.132, 'neu': 0.769, 'pos': 0.099, 'compound': -0.1531}"
2751,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
2752,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2753,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.34}"
2754,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.3818}"
2755,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2756,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2757,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2758,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2759,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2760,"{'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}"
2761,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.5267}"
2762,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2763,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.4588}"
2764,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.5473}"
2765,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.743}"
2766,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2767,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.3925}"
2768,"{'neg': 0.032, 'neu': 0.968, 'pos': 0.0, 'compound': -0.128}"
2769,"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.2732}"
2770,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4389}"
2771,"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.6249}"
2772,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4588}"
2773,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2774,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
2775,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.5106}"
2776,"{'neg': 0.072, 'neu': 0.846, 'pos': 0.082, 'compound': 0.1027}"
2777,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2778,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2779,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2780,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2781,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2782,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1779}"
2783,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2784,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.5267}"
2785,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2786,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2787,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
2788,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2789,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2790,"{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.4648}"
2791,"{'neg': 0.075, 'neu': 0.839, 'pos': 0.086, 'compound': -0.135}"
2792,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.6166}"
2793,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.4588}"
2794,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2795,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}"
2796,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2797,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2798,"{'neg': 0.096, 'neu': 0.835, 'pos': 0.069, 'compound': -0.0772}"
2799,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.5106}"
2800,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2801,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2802,"{'neg': 0.0, 'neu': 0.511, 'pos': 0.489, 'compound': 0.7717}"
2803,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2804,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2805,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.4404}"
2806,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2807,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2808,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2809,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.6705}"
2810,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2811,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2812,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.6983}"
2813,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2814,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}"
2815,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}"
2816,"{'neg': 0.103, 'neu': 0.748, 'pos': 0.15, 'compound': 0.25}"
2817,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2818,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2819,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
2820,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2821,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2822,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.6249}"
2823,"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.4278}"
2824,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2825,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2826,"{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.7901}"
2827,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2828,"{'neg': 0.083, 'neu': 0.623, 'pos': 0.294, 'compound': 0.7264}"
2829,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2830,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}"
2831,"{'neg': 0.186, 'neu': 0.814, 'pos': 0.0, 'compound': -0.6694}"
2832,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}"
2833,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2834,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2835,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2836,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.6705}"
2837,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
2838,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.6249}"
2839,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2840,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.6597}"
2841,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2842,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4003}"
2843,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2844,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}"
2845,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2846,"{'neg': 0.292, 'neu': 0.708, 'pos': 0.0, 'compound': -0.5106}"
2847,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.6705}"
2848,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2849,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}"
