,body
135,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.4404}"
136,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.1027}"
137,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
138,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.6249}"
139,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
140,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.2023}"
141,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.3818}"
142,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}"
143,"{'neg': 0.215, 'neu': 0.732, 'pos': 0.054, 'compound': -0.6486}"
144,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4995}"
145,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
146,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
147,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
148,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.2975}"
149,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.3241}"
150,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3612}"
151,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.5267}"
152,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
153,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
154,"{'neg': 0.071, 'neu': 0.847, 'pos': 0.081, 'compound': 0.0772}"
155,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
156,"{'neg': 0.264, 'neu': 0.55, 'pos': 0.186, 'compound': -0.2808}"
157,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
158,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.4215}"
159,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
160,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
161,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.0772}"
162,"{'neg': 0.046, 'neu': 0.791, 'pos': 0.163, 'compound': 0.5984}"
163,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
164,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
165,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.5994}"
166,"{'neg': 0.177, 'neu': 0.686, 'pos': 0.137, 'compound': -0.1779}"
167,"{'neg': 0.0, 'neu': 0.688, 'pos': 0.312, 'compound': 0.6739}"
168,"{'neg': 0.203, 'neu': 0.562, 'pos': 0.235, 'compound': 0.1901}"
169,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.2263}"
170,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
171,"{'neg': 0.075, 'neu': 0.841, 'pos': 0.084, 'compound': 0.0772}"
172,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
173,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
174,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.8881}"
175,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
176,"{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.1027}"
177,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
178,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
179,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
180,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
181,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
182,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
183,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
184,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.7906}"
185,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
186,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.5255}"
187,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
188,"{'neg': 0.255, 'neu': 0.581, 'pos': 0.165, 'compound': -0.5859}"
189,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}"
190,"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.5574}"
191,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5106}"
192,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
193,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}"
194,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.7096}"
195,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
196,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
197,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.7468}"
