date_,ticker,close,diffs,bin_2,bin_3,bin_5,high,vol,max_pos,min_neu,std_neg,std_neu,std_pos,mean_comp,mean_neg,mean_pos,count
2018-12-27 19:00:00,GOOG,1011.98,-0.4466218077361916,-1,-1,-1,1020.0255,116707.0,0.332,0.668,0.0536239607513904,0.1141747016637223,0.1102239387187133,0.1605875,0.0220625,0.069375,16.0
2018-12-27 20:00:00,GOOG,1009.25,-0.2697681772367066,-1,-1,-1,1013.03,101748.0,0.302,0.698,0.0918342496662585,0.1181671160698332,0.0835458466755351,0.0547555555555555,0.0483333333333333,0.0555555555555555,18.0
2018-12-27 21:00:00,GOOG,1001.13,-0.80455783998018,-1,-1,-2,1010.75,98401.0,0.332,0.668,0.0645518986478912,0.1063677135045708,0.1126904948034554,0.1616857142857143,0.0346190476190476,0.0896190476190476,21.0
2018-12-27 22:00:00,GOOG,1014.98,1.3834367165103556,1,1,2,1015.67,112636.0,0.312,0.688,0.0,0.1273734666247252,0.1273734666247252,0.1020666666666666,0.0,0.052,6.0
2018-12-27 23:00:00,GOOG,1043.88,2.847346745748691,1,1,2,1043.89,282831.0,0.398,0.602,0.0,0.1500213924139427,0.1500213924139427,0.3120363636363636,0.0,0.1357272727272727,11.0
2018-12-28 17:00:00,GOOG,1049.11,0.5010154423879865,1,1,1,1052.7635,143859.0,0.332,0.668,0.0580313007620186,0.1174604212041253,0.1137979702014848,0.2355571428571428,0.0266428571428571,0.1051428571428571,14.0
2018-12-28 18:00:00,GOOG,1037.25,-1.1304820276234029,-1,-1,-2,1049.46,112645.0,0.332,0.563,0.119912331810625,0.1300955028787738,0.1023117911796049,0.2982722222222222,0.0455555555555555,0.0970555555555555,18.0
2018-12-28 19:00:00,GOOG,1042.75,0.5302482525909813,1,1,1,1043.5184,85555.0,0.332,0.668,0.0,0.124195837533333,0.124195837533333,0.150075,0.0,0.0596666666666666,12.0
2018-12-28 20:00:00,GOOG,1042.58,-0.0163030448333767,-1,0,0,1046.36,84890.0,0.332,0.394,0.1257372259913507,0.1489921698166271,0.0958546642927023,0.4175,0.034125,0.141375,16.0
2018-12-28 21:00:00,GOOG,1042.17,-0.039325519384592,-1,0,0,1045.5334,57414.0,0.332,0.668,0.0497281658237107,0.127808562199207,0.1196949893528984,0.2711095238095238,0.0192380952380952,0.1079047619047619,21.0
2018-12-28 22:00:00,GOOG,1053.15,1.0535709145341077,1,1,2,1055.56,83986.0,0.332,0.668,0.0705081373736211,0.119313689115107,0.1090291657051404,0.044,0.0323076923076923,0.0642307692307692,13.0
2018-12-28 23:00:00,GOOG,1037.629,-1.4737691686844356,-1,-1,-2,1054.163,183668.0,0.398,0.602,0.0589624577894394,0.1782215047683774,0.170030389440633,0.1196857142857143,0.0222857142857142,0.117,7.0
2018-12-31 17:00:00,GOOG,1038.5903,0.0926439025894731,1,0,0,1052.7,103452.0,0.455,0.545,0.107856752460768,0.1488809642028701,0.1379104509822173,0.0903260869565217,0.0635217391304347,0.1122608695652173,23.0
2018-12-31 18:00:00,GOOG,1027.61,-1.057231133393044,-1,-1,-2,1039.84,131980.0,0.332,0.668,0.0802341802738117,0.1150624544369388,0.0812989771412317,0.00789,0.03705,0.03995,20.0
2018-12-31 19:00:00,GOOG,1032.6,0.4855927832543516,1,1,1,1032.99,109377.0,0.34,0.658,0.0384447655734821,0.1400355758369993,0.1369224689377167,0.33864375,0.0165,0.1238125,16.0
2018-12-31 20:00:00,GOOG,1031.68,-0.0890954871198723,-1,0,0,1034.1229,80354.0,0.188,0.812,0.0,0.074548641838735,0.074548641838735,0.3240333333333333,0.0,0.1095,6.0
2018-12-31 21:00:00,GOOG,1034.81,0.3033886476426772,1,1,1,1038.77,80523.0,0.332,0.668,0.0,0.1695386878168716,0.1695386878168716,0.3121333333333333,0.0,0.1538333333333333,6.0
2018-12-31 22:00:00,GOOG,1034.0649,-0.0720035562083776,-1,0,0,1037.75,84842.0,0.31,0.69,0.0,0.1362717872488653,0.1362717872488652,0.23584,0.0,0.088,5.0
2018-12-31 23:00:00,GOOG,1037.36,0.3186550476667271,1,1,1,1037.36,181622.0,0.332,0.667,0.0775671751881339,0.1616848786992772,0.1422204861005145,0.2490833333333333,0.0316666666666666,0.1443333333333333,6.0
2019-01-02 17:00:00,GOOG,1021.92,-1.4883936145600352,-1,-1,-2,1028.05,115115.0,0.332,0.587,0.0601410107702771,0.1492271511724954,0.1313075924062634,0.3284117647058823,0.0327647058823529,0.1400588235294118,17.0
2019-01-02 18:00:00,GOOG,1032.555,1.0406881164866322,1,1,2,1034.96,120481.0,0.526,0.474,0.025212939291013,0.1679203871191834,0.1690709151775501,0.1881615384615384,0.0102307692307692,0.0901538461538461,13.0
2019-01-02 19:00:00,GOOG,1030.8,-0.1699667330069654,-1,0,0,1038.0,95406.0,0.556,0.444,0.03775,0.1671663841805522,0.1629602073104556,0.15318125,0.0094375,0.0938125,16.0
2019-01-02 20:00:00,GOOG,1041.8,1.0671323244082265,1,1,2,1042.66,98486.0,0.332,0.625,0.1026901711062459,0.1261773831799653,0.0991743859246399,0.0685611111111111,0.0377222222222222,0.0558333333333333,18.0
2019-01-02 21:00:00,GOOG,1052.13,0.9915530812056206,1,1,2,1052.32,95879.0,0.338,0.662,0.0491685860845098,0.1209211440440549,0.1205021544652593,0.2198814814814814,0.0166296296296296,0.0939999999999999,27.0
2019-01-02 22:00:00,GOOG,1046.673,-0.5186621425109172,-1,-1,-1,1051.75,101406.0,0.332,0.668,0.0747283188451801,0.1152510861792507,0.0925480750682066,0.0831894736842105,0.0401052631578947,0.0584210526315789,19.0
2019-01-02 23:00:00,GOOG,1045.86,-0.0776746892296009,-1,0,0,1048.715,158012.0,0.398,0.602,0.0692719716812367,0.1453493179977953,0.154306856816559,0.0331583333333333,0.0436666666666666,0.1086666666666666,12.0
2019-01-03 17:00:00,GOOG,1035.4624,-0.9941674793949472,-1,-1,-2,1056.98,135402.0,0.332,0.668,0.0267277633432603,0.1175193884712929,0.1149590216845405,0.262764,0.00904,0.09408,25.0
2019-01-03 18:00:00,GOOG,1027.23,-0.7950457689240964,-1,-1,-2,1036.38,189504.0,0.332,0.598,0.1026182245022783,0.136331177652069,0.0856358569759186,0.005488,0.0572,0.0616,25.0
2019-01-03 19:00:00,GOOG,1028.71,0.1440767890345862,1,0,0,1035.99,133430.0,0.403,0.548,0.0902058756401155,0.1468323144659532,0.1167241559036885,0.1107571428571428,0.04,0.0818571428571428,21.0
2019-01-03 20:00:00,GOOG,1028.04,-0.0651301144151461,-1,0,0,1031.2672,115280.0,0.332,0.668,0.0704426709635084,0.1219015820197783,0.1061366131227169,0.1473838709677419,0.0406451612903225,0.0982258064516129,31.0
2019-01-03 21:00:00,GOOG,1017.1,-1.064160927590363,-1,-1,-2,1027.68,77666.0,0.332,0.581,0.0827007797564933,0.1354042549293205,0.1047710094772283,0.109091304347826,0.0273478260869565,0.0663478260869565,23.0
2019-01-03 22:00:00,GOOG,1017.61,0.0501425621866058,1,0,0,1024.66,67218.0,0.403,0.597,0.0844528609005385,0.1299502703010761,0.1080680023026849,0.0913857142857142,0.0277142857142857,0.0607857142857142,28.0
2019-01-03 23:00:00,GOOG,1015.19,-0.2378121284185463,-1,0,0,1022.01,244843.0,0.398,0.602,0.05233011729846,0.1334811619227046,0.1282546868768637,0.1063529411764706,0.017235294117647,0.0744705882352941,17.0
2019-01-04 17:00:00,GOOG,1041.01,2.543366266413183,1,1,2,1042.0,125653.0,0.367,0.633,0.0504102950741449,0.1024097924585234,0.0996778790398977,0.1698129032258064,0.0197419354838709,0.0752903225806451,31.0
2019-01-04 18:00:00,GOOG,1051.22,0.9807782826293688,1,1,2,1051.99,191689.0,0.332,0.668,0.0303216094559639,0.112648050730287,0.110315834463296,0.2602375,0.01675,0.092625,16.0
2019-01-04 19:00:00,GOOG,1060.68,0.8999067749852596,1,1,2,1061.32,142877.0,0.439,0.561,0.0475231584902074,0.142390863831802,0.137453678866708,0.3262782608695652,0.0197826086956521,0.1298260869565217,23.0
2019-01-04 20:00:00,GOOG,1064.1985,0.3317211600105452,1,1,1,1065.25,119407.0,0.359,0.641,0.0339490198343401,0.115319632530887,0.1121531545047194,0.1733944444444444,0.0112222222222222,0.0672777777777777,18.0
2019-01-04 21:00:00,GOOG,1066.03,0.1721013513926284,1,0,0,1069.0211,112540.0,0.332,0.668,0.092385576454564,0.110463806885237,0.0998425075596034,0.086205,0.0726,0.088,20.0
2019-01-04 22:00:00,GOOG,1064.6141,-0.1328199018789333,-1,0,0,1070.3,133899.0,0.332,0.668,0.029246600424043,0.1203698089600997,0.1232367271112427,0.2010636363636363,0.0088181818181818,0.080090909090909,11.0
2019-01-04 23:00:00,GOOG,1070.71,0.5725924539229821,1,1,1,1070.84,277133.0,0.398,0.602,0.0473427220735493,0.1639796735370983,0.2101523257068548,0.3877666666666666,0.0273333333333333,0.238,3.0
2019-01-07 17:00:00,GOOG,1066.3296,-0.4091117109207953,-1,-1,-1,1073.9999,165443.0,0.332,0.323,0.1524837437309523,0.164926747897038,0.1028451498847659,0.1332333333333333,0.0769761904761904,0.0967380952380952,42.0
2019-01-07 18:00:00,GOOG,1057.97,-0.783960231433134,-1,-1,-2,1066.4207,198585.0,0.515,0.485,0.0581252274274437,0.1455325933057118,0.1317605211003467,0.1998361111111111,0.0209722222222222,0.0962777777777777,36.0
2019-01-07 19:00:00,GOOG,1068.118,0.9591954403243896,1,1,2,1070.4304,203604.0,0.492,0.508,0.0455519075844797,0.1548743849021336,0.1415907368399969,0.2633173913043478,0.019391304347826,0.1091304347826087,23.0
2019-01-07 20:00:00,GOOG,1068.82,0.0657230755403359,1,0,0,1072.09,136737.0,0.507,0.493,0.0665038698564403,0.1392476784955015,0.1272571670068992,0.1449399999999999,0.03,0.0867142857142857,35.0
2019-01-07 21:00:00,GOOG,1064.8,-0.3761157163975182,-1,-1,-1,1069.77,100393.0,0.332,0.303,0.1491856393167753,0.1721436025921959,0.1071779783706478,0.1815772727272727,0.0394545454545454,0.0715,22.0
2019-01-07 22:00:00,GOOG,1063.05,-0.1643501126972202,-1,0,0,1065.786,96361.0,0.6,0.4,0.0564913377592535,0.1623895904452232,0.165298353747501,0.1981444444444444,0.0257222222222222,0.1186111111111111,18.0
2019-01-07 23:00:00,GOOG,1068.39,0.5023282065754309,1,1,1,1070.4526,259590.0,0.398,0.541,0.1324149526940583,0.1602022159646988,0.1462658434826701,0.2604333333333333,0.0449166666666666,0.1353333333333333,12.0
2019-01-08 17:00:00,GOOG,1074.83,0.6027761397991105,1,1,1,1084.56,152619.0,0.457,0.543,0.0702794668676667,0.118637402758714,0.1060374535644908,0.0664045454545454,0.0398181818181818,0.0556818181818181,22.0
2019-01-08 18:00:00,GOOG,1063.89,-1.0178353786179928,-1,-1,-2,1074.5,142274.0,0.212,0.679,0.0890293814941493,0.1031992720109485,0.0813197235355447,0.0591230769230769,0.0246923076923076,0.0726923076923077,13.0
2019-01-08 19:00:00,GOOG,1067.265,0.3172320446662713,1,1,1,1069.7896,128749.0,0.459,0.541,0.0937869927015468,0.1677220358768677,0.1710516919491921,0.1875571428571428,0.046,0.1262857142857142,14.0
2019-01-08 20:00:00,GOOG,1067.21,-0.0051533592875352,-1,0,0,1072.0,89025.0,0.507,0.493,0.0255018825676214,0.1514901285825944,0.1440202028903574,0.2446833333333333,0.0117916666666666,0.1005833333333333,24.0
2019-01-08 21:00:00,GOOG,1074.0,0.6362384160568224,1,1,1,1074.5,97194.0,0.316,0.588,0.1125408814609162,0.149287627864245,0.1067648506453942,0.07470625,0.044625,0.05775,16.0
2019-01-08 22:00:00,GOOG,1074.66,0.0614525139664978,1,0,0,1076.23,115084.0,0.351,0.649,0.0804928168674165,0.1116683424854613,0.0991938853991756,0.2151263157894736,0.0297368421052631,0.0827368421052631,19.0
2019-01-08 23:00:00,GOOG,1076.53,0.1740085236260569,1,0,0,1077.99,214683.0,0.398,0.602,0.0124807544150676,0.1375712868819615,0.134176596224375,0.3168076923076923,0.0034615384615384,0.1257692307692307,13.0
2019-01-09 17:00:00,GOOG,1080.66,0.3836400286104435,1,1,1,1082.63,101672.0,0.507,0.493,0.0561578810349819,0.1406436956383293,0.1430678079122578,0.2263210526315789,0.0295263157894736,0.1242105263157895,19.0
2019-01-09 18:00:00,GOOG,1069.9362,-0.9923380156571016,-1,-1,-2,1082.52,107953.0,0.332,0.666,0.0397607427831355,0.1046921200473082,0.1001617358742016,0.133152,0.0286,0.08204,25.0
2019-01-09 19:00:00,GOOG,1075.6,0.5293586664326222,1,1,1,1077.29,95804.0,0.429,0.571,0.0397705083363707,0.1395878815179407,0.1259743757013041,0.2316959999999999,0.0131199999999999,0.09372,25.0
2019-01-09 20:00:00,GOOG,1078.99,0.3151729267385716,1,1,1,1079.29,83124.0,0.332,0.668,0.0789651246379748,0.109159016618376,0.1133397146153585,0.1551545454545454,0.044090909090909,0.1010909090909091,11.0
2019-01-09 21:00:00,GOOG,1075.655,-0.3090853483350253,-1,-1,-1,1079.42,56904.0,0.353,0.647,0.0865026836908213,0.1345455844155217,0.1297688237561226,0.1949238095238095,0.0432857142857142,0.0983809523809523,21.0
2019-01-09 22:00:00,GOOG,1074.4904,-0.1082689152191007,-1,0,0,1080.21,72330.0,0.398,0.602,0.0351146992762739,0.1081613195769706,0.1163854191446406,0.256375,0.0140999999999999,0.10375,20.0
2019-01-09 23:00:00,GOOG,1074.26,-0.0214427229875635,-1,0,0,1078.35,126947.0,0.398,0.583,0.0819229127678187,0.1583331929823939,0.1395278401675385,0.2030636363636363,0.0361818181818181,0.1217272727272727,11.0
