<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GOOG,60,20180501,180000,1015.0200000,1023.4800000,1013.2300000,1019.2500000,122571
US1.GOOG,60,20180501,190000,1019.2200000,1023.2400000,1016.8400000,1018.7800000,72226
US1.GOOG,60,20180501,200000,1018.6900000,1022.6700000,1018.6900000,1021.2700000,40801
US1.GOOG,60,20180501,210000,1021.3100000,1027.8400000,1018.4100000,1027.7800000,56454
US1.GOOG,60,20180501,220000,1027.8700000,1031.1000000,1026.8200000,1030.0100000,70334
US1.GOOG,60,20180501,230000,1030.2900000,1038.4700000,1029.9100000,1038.0300000,205473
US1.GOOG,60,20180502,170000,1027.5600000,1037.2100000,1027.5500000,1035.1600000,143584
US1.GOOG,60,20180502,180000,1035.0400000,1040.1600000,1030.3600000,1032.2800000,112143
US1.GOOG,60,20180502,190000,1032.3600000,1035.8400000,1026.9700000,1030.4200000,97118
US1.GOOG,60,20180502,200000,1030.4000000,1034.4000000,1029.0000000,1034.1400000,70636
US1.GOOG,60,20180502,210000,1034.0400000,1036.5000000,1032.9700000,1033.7700000,37636
US1.GOOG,60,20180502,220000,1033.8200000,1040.3900000,1032.0000000,1032.9200000,90546
US1.GOOG,60,20180502,230000,1033.3500000,1034.8100000,1022.8700000,1024.3700000,178378
US1.GOOG,60,20180503,170000,1019.5100000,1023.4600000,1016.3400000,1021.7900000,163327
US1.GOOG,60,20180503,180000,1021.8600000,1023.3900000,1006.2900000,1009.6600000,162508
US1.GOOG,60,20180503,190000,1009.2900000,1018.4400000,1008.3400000,1016.2600000,127822
US1.GOOG,60,20180503,200000,1016.0000000,1024.4500000,1010.8600000,1023.4100000,130519
US1.GOOG,60,20180503,210000,1023.1700000,1028.0000000,1019.5000000,1025.5700000,115623
US1.GOOG,60,20180503,220000,1025.2200000,1029.6800000,1022.0600000,1022.8600000,68667
US1.GOOG,60,20180503,230000,1023.6100000,1027.5100000,1020.0000000,1023.8900000,160277
US1.GOOG,60,20180504,170000,1016.9000000,1023.7100000,1016.9000000,1022.2000000,100962
US1.GOOG,60,20180504,180000,1021.9600000,1037.5400000,1020.4600000,1036.6900000,197080
US1.GOOG,60,20180504,190000,1037.3300000,1038.7500000,1035.0600000,1037.3800000,128549
US1.GOOG,60,20180504,200000,1038.0000000,1039.4400000,1036.1500000,1039.1100000,101726
US1.GOOG,60,20180504,210000,1039.1700000,1044.4300000,1038.5200000,1044.2000000,133449
US1.GOOG,60,20180504,220000,1044.0100000,1048.0000000,1043.2700000,1045.7500000,154032
US1.GOOG,60,20180504,230000,1045.8500000,1048.5100000,1045.0300000,1048.3100000,227866
US1.GOOG,60,20180507,170000,1050.5400000,1061.6800000,1047.1000000,1058.3200000,250169
US1.GOOG,60,20180507,180000,1058.2500000,1058.6800000,1055.0000000,1058.2200000,133902
US1.GOOG,60,20180507,190000,1057.8400000,1059.5000000,1056.3600000,1058.8700000,79257
US1.GOOG,60,20180507,200000,1059.1200000,1060.5700000,1055.7000000,1056.5100000,90064
US1.GOOG,60,20180507,210000,1056.5000000,1057.3800000,1054.0700000,1057.0000000,51953
US1.GOOG,60,20180507,220000,1057.1200000,1059.8200000,1055.4500000,1056.3700000,68736
US1.GOOG,60,20180507,230000,1056.7200000,1058.3700000,1052.0000000,1054.7900000,155215
US1.GOOG,60,20180508,170000,1056.9900000,1060.5500000,1050.5100000,1052.9300000,157511
US1.GOOG,60,20180508,180000,1052.5700000,1053.2600000,1047.1500000,1048.4500000,123966
